device_id,timestamp,cpu_percent,ram_percent,disco_percent,latencia_ms,banda_mbps
5,2025-06-10 15:31:18,73.7,79.2,100.0,16.9,343.9
6,2025-06-10 15:31:18,54.3,65.1,53.7,29.5,368.3
7,2025-06-10 15:31:18,42.1,61.1,35.7,24.5,188.9
8,2025-06-10 15:31:18,64.3,64.1,68.1,1.0,372.5
9,2025-06-10 15:31:18,31.7,80.8,59.9,7.5,147.8
10,2025-06-10 15:31:18,56.9,61.0,77.2,30.3,492.4
11,2025-06-10 15:31:18,42.5,54.1,56.4,1.0,326.0
12,2025-06-10 15:31:18,59.2,64.7,78.4,15.0,383.0
13,2025-06-10 15:31:18,5.3,45.5,41.5,10.2,655.7
14,2025-06-10 15:31:18,54.4,72.1,83.9,23.4,794.0
15,2025-06-10 15:31:18,24.6,61.2,30.4,34.6,359.5
1,2025-06-10 15:41:18,68.6,67.6,21.6,29.9,169.1
2,2025-06-10 15:41:18,71.5,65.4,42.9,1.0,621.7
3,2025-06-10 15:41:18,48.2,34.4,13.7,21.4,154.1
4,2025-06-10 15:41:18,74.5,62.5,75.4,25.6,201.6
5,2025-06-10 15:41:18,55.6,97.7,47.2,23.7,325.3
6,2025-06-10 15:41:18,66.1,65.2,55.2,37.1,417.6
7,2025-06-10 15:41:18,98.8,64.2,66.4,26.1,451.9
8,2025-06-10 15:41:18,54.9,52.4,80.7,24.9,585.6
9,2025-06-10 15:41:18,45.6,66.4,56.1,10.9,569.2
10,2025-06-10 15:41:18,72.6,76.4,28.3,25.4,10.0
11,2025-06-10 15:41:18,57.4,62.4,83.2,24.8,558.8
12,2025-06-10 15:41:18,77.8,65.8,42.3,16.0,411.5
13,2025-06-10 15:41:18,46.6,57.6,78.5,3.6,810.9
14,2025-06-10 15:41:18,55.9,70.5,61.0,14.6,527.6
15,2025-06-10 15:41:18,29.2,50.4,43.5,28.0,292.4
1,2025-06-10 15:51:18,30.7,100.0,66.4,13.6,222.9
2,2025-06-10 15:51:18,20.0,70.9,84.8,16.5,450.3
3,2025-06-10 15:51:18,75.2,62.4,100.0,12.1,725.5
4,2025-06-10 15:51:18,29.9,70.5,74.4,20.1,97.0
5,2025-06-10 15:51:18,44.8,45.8,94.7,41.6,313.2
6,2025-06-10 15:51:18,25.9,64.7,82.7,15.9,270.5
7,2025-06-10 15:51:18,57.0,61.8,30.5,31.9,192.9
8,2025-06-10 15:51:18,57.6,65.6,72.4,12.3,195.9
9,2025-06-10 15:51:18,72.1,49.4,83.3,10.2,389.2
10,2025-06-10 15:51:18,34.3,58.3,73.8,40.2,755.2
11,2025-06-10 15:51:18,44.3,52.0,79.7,18.7,117.8
12,2025-06-10 15:51:18,86.8,49.8,68.4,24.6,565.3
13,2025-06-10 15:51:18,100.0,85.6,68.8,31.7,524.3
14,2025-06-10 15:51:18,57.4,78.2,81.4,38.5,271.4
15,2025-06-10 15:51:18,53.3,88.2,64.5,19.1,378.7
1,2025-06-10 16:01:18,73.4,63.9,47.1,8.0,179.4
2,2025-06-10 16:01:18,52.0,77.6,60.6,26.9,605.5
3,2025-06-10 16:01:18,89.4,72.9,100.0,32.6,205.9
4,2025-06-10 16:01:18,29.3,41.2,75.1,13.4,160.8
5,2025-06-10 16:01:18,74.5,52.5,42.6,31.2,577.6
6,2025-06-10 16:01:18,74.2,53.5,70.1,29.5,517.4
7,2025-06-10 16:01:18,49.3,68.7,58.6,26.4,238.2
8,2025-06-10 16:01:18,80.4,68.0,74.9,33.1,157.1
9,2025-06-10 16:01:18,55.2,57.5,54.6,8.8,508.9
10,2025-06-10 16:01:18,59.3,85.4,52.7,24.3,694.0
11,2025-06-10 16:01:18,51.9,50.2,39.0,30.8,319.4
12,2025-06-10 16:01:18,79.6,60.7,70.3,22.6,457.1
13,2025-06-10 16:01:18,61.1,43.1,55.9,18.8,489.3
14,2025-06-10 16:01:18,36.8,55.8,34.4,10.9,636.3
15,2025-06-10 16:01:18,57.2,60.8,46.4,31.7,574.5
1,2025-06-10 16:11:18,77.5,59.0,66.6,37.8,157.5
2,2025-06-10 16:11:18,66.0,62.7,44.0,24.7,779.7
3,2025-06-10 16:11:18,48.9,61.4,66.1,20.0,440.7
4,2025-06-10 16:11:18,66.6,77.1,97.4,32.5,484.0
5,2025-06-10 16:11:18,64.7,61.4,44.0,13.3,299.0
6,2025-06-10 16:11:18,45.2,62.8,58.9,21.4,396.4
7,2025-06-10 16:11:18,93.4,53.1,97.8,28.6,689.2
8,2025-06-10 16:11:18,68.3,62.8,65.0,9.2,388.4
9,2025-06-10 16:11:18,48.2,54.9,56.3,45.7,488.0
10,2025-06-10 16:11:18,55.0,61.6,53.1,25.9,519.6
11,2025-06-10 16:11:18,53.3,80.0,89.4,22.1,182.5
12,2025-06-10 16:11:18,50.9,54.6,32.6,26.3,414.3
13,2025-06-10 16:11:18,67.8,72.1,85.2,23.2,229.9
14,2025-06-10 16:11:18,47.7,67.5,90.6,14.4,478.7
15,2025-06-10 16:11:18,39.3,37.8,36.9,11.0,227.6
1,2025-06-10 16:21:18,42.1,59.0,44.7,11.0,280.1
2,2025-06-10 16:21:18,65.7,73.0,78.2,26.0,254.6
3,2025-06-10 16:21:18,70.0,84.8,88.9,34.2,548.5
4,2025-06-10 16:21:18,57.5,30.1,34.9,19.7,170.7
5,2025-06-10 16:21:18,60.6,35.4,51.4,16.8,485.0
6,2025-06-10 16:21:18,60.0,50.6,47.1,10.1,420.4
7,2025-06-10 16:21:18,44.6,44.0,48.1,10.2,101.3
8,2025-06-10 16:21:18,68.6,67.1,65.0,22.1,449.7
9,2025-06-10 16:21:18,52.1,81.5,76.5,23.5,272.1
10,2025-06-10 16:21:18,37.9,38.2,59.7,22.6,526.2
11,2025-06-10 16:21:18,5.0,85.0,62.8,10.4,661.2
12,2025-06-10 16:21:18,84.1,86.8,74.7,17.9,398.7
13,2025-06-10 16:21:18,52.9,58.8,50.7,24.3,564.1
14,2025-06-10 16:21:18,61.8,100.0,47.2,25.4,293.9
15,2025-06-10 16:21:18,76.3,86.8,67.3,22.6,406.4
1,2025-06-10 16:31:18,25.6,78.2,47.7,35.8,327.0
2,2025-06-10 16:31:18,100.0,85.6,63.1,1.0,569.1
3,2025-06-10 16:31:18,93.9,70.1,58.9,10.7,728.1
4,2025-06-10 16:31:18,72.8,56.6,68.2,13.9,393.7
5,2025-06-10 16:31:18,60.6,28.6,66.6,20.1,376.8
6,2025-06-10 16:31:18,100.0,73.0,57.4,36.9,415.4
7,2025-06-10 16:31:18,49.9,53.5,60.1,1.0,222.4
8,2025-06-10 16:31:18,71.2,41.5,45.6,9.6,597.1
9,2025-06-10 16:31:18,49.1,93.8,10.0,8.0,372.9
10,2025-06-10 16:31:18,56.3,80.7,80.2,25.0,371.1
11,2025-06-10 16:31:18,52.4,59.7,32.7,17.3,234.5
12,2025-06-10 16:31:18,36.2,53.3,83.0,15.4,469.5
13,2025-06-10 16:31:18,36.6,66.7,52.9,32.9,361.7
14,2025-06-10 16:31:18,5.0,65.2,47.6,10.5,161.5
15,2025-06-10 16:31:18,54.4,67.1,70.5,31.3,147.9
1,2025-06-10 16:41:18,57.7,87.2,76.1,38.1,473.6
2,2025-06-10 16:41:18,69.3,31.5,56.0,8.2,400.5
3,2025-06-10 16:41:18,41.9,37.9,37.4,31.3,232.1
4,2025-06-10 16:41:18,47.3,57.5,100.0,15.7,515.2
5,2025-06-10 16:41:18,53.8,56.8,25.7,2.1,159.7
6,2025-06-10 16:41:18,85.4,53.6,43.6,1.0,10.0
7,2025-06-10 16:41:18,73.2,75.9,90.3,11.5,636.2
8,2025-06-10 16:41:18,57.5,87.9,100.0,22.4,209.8
9,2025-06-10 16:41:18,28.7,78.6,49.1,16.1,603.4
10,2025-06-10 16:41:18,64.6,76.5,76.8,25.9,314.3
11,2025-06-10 16:41:18,37.5,88.1,41.8,15.2,205.4
12,2025-06-10 16:41:18,71.3,64.1,51.3,29.0,523.3
13,2025-06-10 16:41:18,72.3,45.5,88.8,21.4,256.5
14,2025-06-10 16:41:18,59.1,68.4,56.5,39.0,923.2
15,2025-06-10 16:41:18,54.8,36.4,50.2,7.9,202.1
1,2025-06-10 16:51:18,46.5,69.6,80.9,15.0,168.7
2,2025-06-10 16:51:18,43.9,57.8,65.2,18.4,76.9
3,2025-06-10 16:51:18,70.2,95.9,62.6,9.7,399.2
4,2025-06-10 16:51:18,58.7,68.3,88.6,17.2,399.7
5,2025-06-10 16:51:18,73.7,83.5,46.9,27.2,433.0
6,2025-06-10 16:51:18,36.9,58.1,48.0,26.2,122.8
7,2025-06-10 16:51:18,74.1,60.9,59.1,6.9,10.0
8,2025-06-10 16:51:18,46.1,51.7,64.6,5.1,291.2
9,2025-06-10 16:51:18,29.4,65.6,63.0,7.1,404.0
10,2025-06-10 16:51:18,76.0,43.9,74.9,10.5,367.7
11,2025-06-10 16:51:18,64.8,32.3,32.6,19.0,579.2
12,2025-06-10 16:51:18,31.4,78.2,65.5,18.0,520.9
13,2025-06-10 16:51:18,34.4,69.3,61.5,39.9,260.2
14,2025-06-10 16:51:18,51.5,61.4,49.5,1.0,707.0
15,2025-06-10 16:51:18,68.6,66.1,10.0,24.2,438.8
1,2025-06-10 17:01:18,27.9,63.0,26.1,19.6,406.4
2,2025-06-10 17:01:18,84.5,66.9,43.0,16.0,193.6
3,2025-06-10 17:01:18,56.5,65.4,65.1,29.5,443.6
4,2025-06-10 17:01:18,51.6,68.7,77.4,20.0,879.0
5,2025-06-10 17:01:18,38.8,57.8,78.0,18.6,417.8
6,2025-06-10 17:01:18,28.7,57.5,64.9,40.2,81.3
7,2025-06-10 17:01:18,65.5,75.2,63.1,21.1,734.9
8,2025-06-10 17:01:18,51.5,69.4,71.2,1.0,372.3
9,2025-06-10 17:01:18,70.6,83.2,66.1,29.7,74.5
10,2025-06-10 17:01:18,25.0,75.5,38.2,20.2,598.0
11,2025-06-10 17:01:18,21.1,55.4,56.7,24.4,282.6
12,2025-06-10 17:01:18,85.8,29.7,55.4,15.2,496.8
13,2025-06-10 17:01:18,81.7,80.4,68.8,27.1,564.0
14,2025-06-10 17:01:18,52.6,48.1,59.4,22.9,671.6
15,2025-06-10 17:01:18,35.4,70.6,66.7,9.8,812.5
1,2025-06-10 17:11:18,25.2,65.7,54.1,26.0,438.2
2,2025-06-10 17:11:18,79.7,70.7,47.7,1.0,438.7
3,2025-06-10 17:11:18,79.6,82.6,65.9,22.5,637.1
4,2025-06-10 17:11:18,56.6,55.0,84.7,17.7,474.2
5,2025-06-10 17:11:18,38.3,52.7,46.3,3.8,34.9
6,2025-06-10 17:11:18,43.4,94.7,100.0,23.1,568.8
7,2025-06-10 17:11:18,42.8,66.0,98.4,18.1,526.2
8,2025-06-10 17:11:18,33.6,55.6,79.6,32.7,685.2
9,2025-06-10 17:11:18,99.4,54.6,59.5,28.4,706.5
10,2025-06-10 17:11:18,40.7,67.0,54.1,23.2,605.0
11,2025-06-10 17:11:18,21.4,58.3,11.3,11.5,314.2
12,2025-06-10 17:11:18,75.1,61.9,44.8,30.4,763.5
13,2025-06-10 17:11:18,69.3,70.7,51.2,27.2,642.6
14,2025-06-10 17:11:18,46.1,93.0,59.3,25.2,513.8
15,2025-06-10 17:11:18,50.1,55.4,67.4,29.4,735.2
1,2025-06-10 17:21:18,46.9,77.2,67.6,27.7,150.2
2,2025-06-10 17:21:18,67.2,63.4,46.8,17.4,421.4
3,2025-06-10 17:21:18,15.3,54.7,46.8,10.0,494.3
4,2025-06-10 17:21:18,76.2,58.3,68.7,9.1,420.7
5,2025-06-10 17:21:18,30.0,52.4,73.9,32.4,409.3
6,2025-06-10 17:21:18,25.6,35.1,94.2,31.0,104.5
7,2025-06-10 17:21:18,100.0,51.7,49.4,16.3,406.8
8,2025-06-10 17:21:18,44.1,52.5,46.4,3.2,315.8
9,2025-06-10 17:21:18,54.5,65.4,100.0,27.6,462.3
10,2025-06-10 17:21:18,51.9,69.3,90.7,19.3,589.6
11,2025-06-10 17:21:18,57.3,90.9,82.7,12.7,199.7
12,2025-06-10 17:21:18,36.1,84.8,48.4,1.0,240.0
13,2025-06-10 17:21:18,56.3,75.6,71.1,28.3,554.1
14,2025-06-10 17:21:18,20.0,75.6,38.0,4.3,464.3
15,2025-06-10 17:21:18,53.7,88.8,60.9,33.5,415.2
1,2025-06-10 17:31:18,38.4,64.5,57.4,22.5,10.0
2,2025-06-10 17:31:18,40.1,96.8,31.5,28.8,151.3
3,2025-06-10 17:31:18,89.3,67.9,57.1,25.0,844.7
4,2025-06-10 17:31:18,76.7,66.3,70.5,5.6,773.7
5,2025-06-10 17:31:18,63.9,86.4,85.2,29.3,290.3
6,2025-06-10 17:31:18,52.9,55.0,56.8,12.6,557.4
7,2025-06-10 17:31:18,58.3,28.8,64.8,12.0,250.4
8,2025-06-10 17:31:18,60.5,96.0,65.1,5.8,212.2
9,2025-06-10 17:31:18,81.7,38.1,48.3,13.6,130.4
10,2025-06-10 17:31:18,64.7,72.5,78.9,22.6,329.6
11,2025-06-10 17:31:18,45.0,52.8,51.9,37.3,107.0
12,2025-06-10 17:31:18,54.3,50.8,62.2,39.3,290.6
13,2025-06-10 17:31:18,24.0,87.7,55.5,35.0,161.1
14,2025-06-10 17:31:18,17.6,54.7,55.1,19.7,303.8
15,2025-06-10 17:31:18,45.6,100.0,43.7,10.8,393.4
1,2025-06-10 17:41:18,58.7,64.8,49.4,23.1,277.7
2,2025-06-10 17:41:18,64.9,57.3,74.7,9.8,314.1
3,2025-06-10 17:41:18,75.3,74.2,75.7,16.4,622.4
4,2025-06-10 17:41:18,13.0,61.1,53.2,40.8,537.3
5,2025-06-10 17:41:18,56.6,84.3,65.7,11.3,229.3
6,2025-06-10 17:41:18,75.8,57.5,56.9,28.4,678.5
7,2025-06-10 17:41:18,100.0,43.5,10.0,21.2,215.6
8,2025-06-10 17:41:18,57.8,65.9,40.1,28.9,231.9
9,2025-06-10 17:41:18,66.2,73.8,100.0,16.4,153.2
10,2025-06-10 17:41:18,58.3,61.6,61.8,24.8,494.6
11,2025-06-10 17:41:18,32.7,40.4,30.5,10.3,223.3
12,2025-06-10 17:41:18,56.5,48.5,76.4,22.2,749.2
13,2025-06-10 17:41:18,69.1,60.1,66.9,4.3,515.1
14,2025-06-10 17:41:18,27.8,64.7,75.0,11.2,223.0
15,2025-06-10 17:41:18,91.7,57.0,90.1,5.4,229.0
1,2025-06-10 17:51:18,27.9,79.8,35.3,22.6,263.9
2,2025-06-10 17:51:18,32.5,50.4,33.2,13.8,386.0
3,2025-06-10 17:51:18,94.4,44.6,43.1,29.2,208.1
4,2025-06-10 17:51:18,30.6,61.8,54.3,23.8,601.8
5,2025-06-10 17:51:18,78.0,76.0,79.1,12.0,550.2
6,2025-06-10 17:51:18,56.2,74.2,74.5,7.2,701.7
7,2025-06-10 17:51:18,52.6,90.4,75.8,35.1,939.8
8,2025-06-10 17:51:18,89.5,63.6,76.2,13.8,415.5
9,2025-06-10 17:51:18,32.2,56.4,45.9,22.9,393.0
10,2025-06-10 17:51:18,39.2,71.6,67.5,21.1,634.8
11,2025-06-10 17:51:18,48.7,40.5,31.5,14.5,448.5
12,2025-06-10 17:51:18,60.6,69.0,79.5,23.9,302.2
13,2025-06-10 17:51:18,38.9,69.2,58.4,9.1,361.5
14,2025-06-10 17:51:18,80.3,24.7,42.7,30.8,724.1
15,2025-06-10 17:51:18,79.2,79.1,56.5,23.5,417.7
1,2025-06-10 18:01:18,48.0,67.4,81.3,24.4,212.8
2,2025-06-10 18:01:18,73.4,73.7,81.1,11.8,554.1
3,2025-06-10 18:01:18,54.1,72.6,67.0,13.2,328.3
4,2025-06-10 18:01:18,9.2,60.5,50.7,22.3,415.7
5,2025-06-10 18:01:18,50.1,77.1,60.3,20.2,62.3
6,2025-06-10 18:01:18,52.4,59.3,57.9,9.0,638.0
7,2025-06-10 18:01:18,54.4,59.4,84.8,1.1,470.9
8,2025-06-10 18:01:18,61.6,82.0,60.8,26.6,10.0
9,2025-06-10 18:01:18,88.8,53.7,31.1,13.5,465.3
10,2025-06-10 18:01:18,78.4,61.9,58.5,28.1,337.1
11,2025-06-10 18:01:18,58.9,72.5,36.7,19.0,101.0
12,2025-06-10 18:01:18,56.4,74.4,89.3,16.8,487.2
13,2025-06-10 18:01:18,36.5,63.1,30.7,38.7,471.4
14,2025-06-10 18:01:18,31.9,57.1,61.9,31.6,235.4
15,2025-06-10 18:01:18,50.0,54.7,80.0,40.4,249.4
1,2025-06-10 18:11:18,41.6,74.1,81.8,28.8,148.5
2,2025-06-10 18:11:18,45.5,84.8,46.5,23.3,698.7
3,2025-06-10 18:11:18,90.3,96.0,55.9,4.2,265.6
4,2025-06-10 18:11:18,50.0,67.3,81.2,18.7,452.4
5,2025-06-10 18:11:18,81.6,70.4,95.2,4.5,183.7
6,2025-06-10 18:11:18,53.5,69.9,54.6,26.1,223.5
7,2025-06-10 18:11:18,65.9,64.1,42.0,33.2,382.7
8,2025-06-10 18:11:18,42.7,78.5,28.5,10.3,363.9
9,2025-06-10 18:11:18,39.1,49.4,54.6,28.5,836.9
10,2025-06-10 18:11:18,36.9,50.5,77.8,15.5,446.0
11,2025-06-10 18:11:18,53.3,67.8,64.0,21.5,388.3
12,2025-06-10 18:11:18,48.9,77.1,75.3,9.3,201.3
13,2025-06-10 18:11:18,72.6,71.0,86.5,27.9,409.2
14,2025-06-10 18:11:18,67.1,75.8,67.3,23.9,10.0
15,2025-06-10 18:11:18,17.9,82.3,80.4,14.3,157.1
1,2025-06-10 18:21:18,62.7,79.9,59.5,11.2,370.0
2,2025-06-10 18:21:18,65.8,78.0,48.8,12.8,218.3
3,2025-06-10 18:21:18,51.6,75.7,67.9,25.3,589.8
4,2025-06-10 18:21:18,48.2,70.6,60.4,18.0,642.9
5,2025-06-10 18:21:18,51.6,63.4,91.5,22.7,513.4
6,2025-06-10 18:21:18,40.1,68.2,73.5,32.4,651.5
7,2025-06-10 18:21:18,71.2,52.7,43.0,28.9,719.5
8,2025-06-10 18:21:18,27.7,67.5,43.7,25.8,146.1
9,2025-06-10 18:21:18,48.2,76.3,28.7,5.1,475.1
10,2025-06-10 18:21:18,51.5,78.7,10.1,2.3,302.4
11,2025-06-10 18:21:18,73.5,47.1,64.2,17.3,304.6
12,2025-06-10 18:21:18,46.8,71.7,69.4,39.8,96.5
13,2025-06-10 18:21:18,26.1,70.4,47.7,27.5,353.2
14,2025-06-10 18:21:18,40.1,78.1,56.3,24.1,93.9
15,2025-06-10 18:21:18,55.5,67.2,96.8,42.5,424.5
1,2025-06-10 18:31:18,46.9,95.3,73.7,17.1,446.2
2,2025-06-10 18:31:18,14.7,76.3,100.0,19.8,409.7
3,2025-06-10 18:31:18,71.1,91.8,70.6,19.6,11.8
4,2025-06-10 18:31:18,75.7,35.8,65.0,12.5,115.9
5,2025-06-10 18:31:18,56.0,63.1,47.7,24.1,279.1
6,2025-06-10 18:31:18,62.8,80.5,84.9,31.6,352.0
7,2025-06-10 18:31:18,42.7,78.3,35.8,8.1,410.2
